时间 t (s),浮子位移 x1 (m),振子位移 x2 (m),浮子速度 v1 (m/s),振子速度 v2 (m/s)
0,0,0,0,0
0.2,0.018310394998798368,0.0031951452798288553,0.16880934888810947,0.05547108491581487
0.4,0.06067262872649101,0.030921518576739297,0.23924841411204423,0.23262401512243921
0.6000000000000001,0.1095164287341377,0.09435735272447422,0.24422736533936878,0.3777639122916847
0.8,0.15722680966443306,0.16940406492229085,0.2283877849785933,0.3437298255760712
1,0.19758890621921651,0.22392663766842325,0.16379091886908634,0.19089398744769634
1.2000000000000002,0.21763811522812326,0.24418986343551494,0.024080581773892294,0.01246122906549868
1.4000000000000001,0.20318331991763888,0.22960419007295527,-0.174534326,-0.158465165
1.6,0.14764037702366628,0.17922125054373048,-0.376414925,-0.351561777
1.8,0.05564418282093495,0.08737247242894654,-0.534145259,-0.566117639
2,-0.062283233,-0.04345828,-0.635865299,-0.724888326
2.2,-0.194484789,-0.19437999,-0.673545514,-0.763616056
2.4000000000000004,-0.325761338,-0.341495205,-0.622636457,-0.691457976
2.6,-0.436745503,-0.465205468,-0.470853224,-0.532141347
2.8000000000000003,-0.508358689,-0.548988951,-0.23353357,-0.292416134
3,-0.526677232,-0.577302885,0.05598134255718253,0.019320535171856473
3.2,-0.484912012,-0.538660181,0.36131649967308543,0.36950850366235727
3.4000000000000004,-0.383357886,-0.430663835,0.6487553577812133,0.7016911434467669
3.6,-0.228803026,-0.263099571,0.884964948288027,0.9585551141313637
3.8000000000000003,-0.035418985,-0.053940376,1.0308885551401286,1.1151494199443084
4,0.1756122992909391,0.1752654249191325,1.0584785849296001,1.15614943877202
4.2,0.3795741111617889,0.3996792401085496,0.9606518968652431,1.0650611164211745
4.4,0.5521402176243866,0.5922718965007945,0.7471911342832631,0.8396185753211151
4.6000000000000005,0.6721407459443863,0.7280320956089019,0.4394502202122131,0.5023664474652235
4.800000000000001,0.7237593100888099,0.7884531467057554,0.06963678432920678,0.09383777439818222
5,0.698643700842381,0.7639612519706174,-0.320313938,-0.338704452
5.2,0.5972404373292407,0.6549941571727594,-0.68615387,-0.741175543
5.4,0.42867697221555723,0.4728249213098918,-0.984687979,-1.064269913
5.6000000000000005,0.21049221073768803,0.23673564317776288,-1.176856529,-1.275798386
5.800000000000001,-0.03332216,-0.028396336,-1.238494415,-1.351190775
6,-0.275756553,-0.293699613,-1.16340789,-1.276672963
6.2,-0.490165289,-0.52942218,-0.960972521,-1.058210033
6.4,-0.653163566,-0.709107269,-0.654219226,-0.722058175
6.6000000000000005,-0.747217145,-0.813054587,-0.278221267,-0.308267571
6.800000000000001,-0.762734499,-0.830356569,0.12343062439737289,0.1363724638924671
7,-0.699100538,-0.760028814,0.5064238171966623,0.5580760037423314
7.2,-0.564145296,-0.612147974,0.8297644040575599,0.9052875258969515
7.4,-0.373731685,-0.404932423,1.0555517388370537,1.1474680924554883
7.6000000000000005,-0.15007622,-0.161568576,1.1596988656816538,1.2637540123942377
7.800000000000001,0.08160090050176153,0.09129233643061108,1.1361357164885324,1.241490762324248
8,0.2964318883803794,0.32602825164437715,0.9937639778989678,1.0849179703668326
8.200000000000001,0.4725406441847294,0.5178430333367046,0.7532398304803246,0.8175279930889623
8.4,0.5932061338267561,0.6480690436778348,0.4451314778088392,0.4757484505933612
8.6,0.6485859283304382,0.7059628412805948,0.1070105100283053,0.10121648394990801
