时间 t (s),浮子位移 x1 (m),振子位移 x2 (m),浮子速度 v1 (m/s),振子速度 v2 (m/s),浮子角位移 θ1,振子角位移 θ2,浮子角速度 w1,振子角速度 w2
0,0,0,0,0,0,0,0,0
0.2,0.010562583247303513,0.0033417124347447044,0.0959947630671314,0.048289808258670186,0.0020796487749871117,0.0009698135988325868,0.019808474569654747,0.016649376465366416
0.4,0.034782200907205976,0.02230901095424495,0.13869050719337284,0.14025373971736202,0.007632544118907382,0.007497373068397352,0.03559605641000786,0.04243623112918239
0.6000000000000001,0.06355329421302727,0.056338332073885874,0.14342724069874266,0.1881597110434393,0.0161498078743405,0.015809320250082068,0.04826040046986013,0.04246403854946298
0.8,0.08981354764591325,0.09255828452190382,0.11282347910071581,0.16240465679344285,0.026266101418833298,0.026067873827966978,0.051635515590966206,0.05900530494925872
1,0.10602212362600173,0.11743272713306778,0.04272512854443027,0.0787205246503393,0.03647551956734734,0.03704640897890542,0.04943241002437086,0.04671012084421375
1.2000000000000002,0.10463508693503437,0.12172373465828863,-0.060935567,-0.039972111,0.04539703006943314,0.045449694320313275,0.03810360755287295,0.040390605971366095
1.4000000000000001,0.08064622011610567,0.10042040867163304,-0.179432092,-0.173905423,0.05131354158960113,0.052362669391389345,0.02057772274168381,0.02314140827970568
1.6,0.033517108846236765,0.05261198248366858,-0.288146571,-0.300930676,0.053352903566639846,0.053924707344214756,-0.001191894,-0.004549208
1.8,-0.032363516,-0.017770916,-0.36329267,-0.395311789,0.05056199092333395,0.051433415467050984,-0.026703391,-0.022317278
2,-0.108282135,-0.101740836,-0.38592816,-0.433412825,0.04283279880229626,0.04371882634957159,-0.050268196,-0.054822102
2.2,-0.182460426,-0.186349401,-0.344787509,-0.400128154,0.03053920136827596,0.03090381122221822,-0.072132674,-0.070541655
2.4000000000000004,-0.241837525,-0.256802756,-0.238633672,-0.292440036,0.014438010747620597,0.015087785836716924,-0.087453283,-0.089533528
2.6,-0.274219239,-0.298996822,-0.077415582,-0.120222651,-0.003967667,-0.004096153,-0.095552681,-0.097583402
2.8000000000000003,-0.270473653,-0.302013771,0.11849055406548925,0.09485822941453231,-0.023221551,-0.023175316,-0.095218199,-0.094644671
3,-0.226376117,-0.260230821,0.3209775427325548,0.3221198364594548,-0.041413884,-0.041917686,-0.085486534,-0.089221555
3.2,-0.143759786,-0.174711721,0.4983514054331972,0.526218052102987,-0.05696118,-0.057542268,-0.06868662,-0.066894024
3.4000000000000004,-0.03074829,-0.053607135,0.620246337646552,0.6725798599970861,-0.068395494,-0.069115514,-0.044822172,-0.047984585
3.6,0.09901040547535588,0.08856787969017121,0.6625717347969368,0.7330395248131273,-0.074720423,-0.075707703,-0.018140103,-0.016608394
3.8000000000000003,0.22803941498676544,0.23272446490821005,0.6117334586588147,0.6907328498275225,-0.075540172,-0.076267465,0.009994733106427059,0.009327028704861686
4,0.3374412124943554,0.3578261938874955,0.4674380224462336,0.543442633433499,-0.070890263,-0.0718485,0.0357331957014863,0.03608578414263956
4.2,0.4096808664860124,0.4439798168728073,0.24357527815840935,0.3048268155760285,-0.061568374,-0.062088058,0.05668007432061522,0.05899382826453047
4.4,0.43133258146569287,0.47553475642268217,-0.033041145,0.0032613670355578876,-0.048631598,-0.049043356,0.07133856411475567,0.07103666589552375
4.6000000000000005,0.3953661417812749,0.44371637575051937,-0.325970613,-0.321621787,-0.033620257,-0.03375163,0.07738786312804767,0.08045299454740826
4.800000000000001,0.3026028938534621,0.3483696422423632,-0.594059283,-0.62426831,-0.018184064,-0.017869226,0.07569068787971761,0.07620968668783033
5,0.16208202669707816,0.1985081665780075,-0.797293568,-0.859672133,-0.00389326,-0.003546938,0.06588415391398411,0.06694364365001797
5.2,-0.009768509,0.011531875526124336,-0.902752599,-0.990053881,0.007745677531750499,0.008461160733005499,0.04972959376472096,0.05107322224770974
5.4,-0.191087566,-0.18882902,-0.889777119,-0.990757619,0.015736145466697188,0.016391755903669297,0.02958680035425728,0.028532422656996674
5.6000000000000005,-0.357424222,-0.375594642,-0.753560584,-0.854463966,0.01943498320992117,0.02010436710202989,0.007388854176641176,0.008268290825784999
5.800000000000001,-0.485090558,-0.522231099,-0.506577117,-0.593039209,0.018804494127787584,0.019408271883088277,-0.013257599,-0.014984383
6,-0.554557137,-0.606447175,-0.177561251,-0.236668754,0.01435311999520744,0.014706621577669159,-0.03047772,-0.030617317
6.2,-0.553402015,-0.613545746,0.19189568568942592,0.16968936249625344,0.007035210025108714,0.007311594255012898,-0.041493566,-0.042977503
6.4,-0.478372452,-0.538830478,0.5527190000365387,0.5721034937359322,-0.001765192,-0.001829047,-0.045291872,-0.046231302
6.6000000000000005,-0.336232129,-0.388688937,0.8549835148938054,0.9149540259630925,-0.010551583,-0.010709444,-0.041202244,-0.042135216
6.800000000000001,-0.143230736,-0.180152043,1.0548947982171006,1.148705075987952,-0.0177542,-0.018223468,-0.029772611,-0.031121325
7,0.07677532869503828,0.06105807653972814,1.121133874922735,1.237066296608613,-0.022081029,-0.022645805,-0.012636877,-0.012812962
7.2,0.2953297138673899,0.30376400073770254,1.0396466863522988,1.1625093456814826,-0.022548906,-0.023266025,0.008325692382029355,0.007292186762915318
7.4,0.483122976820216,0.5154364125728109,0.816158712196143,0.9293133563828622,-0.018704016,-0.019465994,0.03005379600996455,0.030694375467582306
7.6000000000000005,0.6139774473904348,0.6666151602041362,0.47600084764366823,0.5636461932294742,-0.01062722,-0.011260286,0.05023197638427113,0.050567762834774606
7.800000000000001,0.6685215315083782,0.7350394314493078,0.06120330321239562,0.11059666803094427,0.0010916721704755555,0.0005578712870365942,0.06600457966682864,0.06709843619355288
8,0.6370349114704489,0.708904712820587,-0.374802301,-0.371499066,0.015349511816196378,0.015150411558986722,0.07542362984161917,0.07723365878647352
8.200000000000001,0.521049442225384,0.5887724273853788,-0.774189336,-0.818706442,0.03075602932873427,0.030833302927111388,0.07726412404553454,0.07837488416605383
8.4,0.33345436663394734,0.3878357229174708,-1.082516347,-1.170095089,0.04568927421996364,0.04605202797959772,0.0706908882792292,0.07245267708506961
8.6,0.09705627558536686,0.13046664398502644,-1.256219739,-1.376122443,0.05851701394837313,0.05916736850269887,0.05637683760441452,0.05719360690593839
8.8,-0.158243189,-0.150793631,-1.268779578,-1.405634958,0.0677891634273575,0.06853201104020731,0.03534886303765751,0.03581979132718944
9,-0.39929513,-0.419421654,-1.11468485,-1.250495539,0.07234708128430642,0.07319477225297755,0.009699355985502159,0.009930195945214312
9.200000000000001,-0.594072709,-0.63972716,-0.810614528,-0.927160346,0.07154157279356811,0.07231859377552023,-0.017868741,-0.018518888
9.4,-0.71597742,-0.781652595,-0.393626144,-0.474936594,0.06525481949161548,0.06594617056860597,-0.044579052,-0.04493228
9.600000000000001,-0.74749712,-0.82490425,0.08344888629685836,0.048891120243935354,0.0539755651327032,0.054506637731784206,-0.067354924,-0.068533193
9.8,-0.682709688,-0.761843731,0.558817707185022,0.5764482677751905,0.03872666887361405,0.039059033970085,-0.083912237,-0.084688384
10,-0.528275996,-0.598729101,0.9698513164532191,1.0382006417373901,0.02095762797597222,0.021082385684764296,-0.092330446,-0.093719863
10.200000000000001,-0.30276602,-0.355114122,1.261438814756692,1.3722346854353222,0.002380322115044683,0.002240670559181237,-0.091968885,-0.093063226
10.4,-0.034385676,-0.061461222,1.393442920057633,1.5326349251060305,-0.015249544,-0.015614153,-0.082955215,-0.084278138
10.600000000000001,0.24261127197504395,0.24473379878859278,1.3462404271707715,1.495816059515104,-0.03031154,-0.030942176,-0.066604617,-0.067717249
10.8,0.49236114337699954,0.5238028345348711,1.1235814584159278,1.263933768511473,-0.0415356,-0.042330054,-0.044935131,-0.045596653
11,0.6820947249084659,0.7391127563734119,0.7523572239209366,0.8648891254732974,-0.048098297,-0.049012038,-0.020472363,-0.0208776
11.200000000000001,0.7864826760900547,0.8619259794263768,0.2792815803344018,0.34889508798124397,-0.049730845,-0.050634053,0.0039145209696864695,0.004423146744163862
11.4,0.7910404931594524,0.8752636668813094,-0.235094503,-0.217958772,-0.046707983,-0.047463656,0.025666952987547408,0.02654294095303102
11.600000000000001,0.6941322890117442,0.7762483208758799,-0.724251996,-0.762303964,-0.03980079,-0.040341879,0.04239657663482109,0.043742354827121945
11.8,0.5072974598245161,0.5766041365949156,-1.124420279,-1.213114936,-0.030198655,-0.030429164,0.05241287709442683,0.0540244668993563
12,0.25384555626062166,0.3012362248197821,-1.382981457,-1.51108052,-0.01934575,-0.019288217,0.05479803150973309,0.056071423869547596
12.200000000000001,-0.034104005,-0.014933532,-1.465445735,-1.616470896,-0.00880254,-0.008500249,0.04937967535845714,0.05054847273216835
12.4,-0.319754728,-0.331464056,-1.360065554,-1.514452758,-5.53E-05,0.00043055392264624605,0.037057325827176024,0.03764583129487199
12.600000000000001,-0.566397678,-0.607637451,-1.07946976,-1.217138733,0.005665614019523819,0.006224324145216061,0.019443994779109457,0.019690476138799297
12.8,-0.742182922,-0.807757495,-0.659096396,-0.762091678,0.00752761621297506,0.008109278467743232,-0.001078309,-0.001190114
13,-0.824270927,-0.905807109,-0.152625739,-0.207481058,0.005224176272271992,0.005738035955099186,-0.021751292,-0.022208339
13.200000000000001,-0.801817591,-0.888851669,0.3749832130147764,0.37547534701169993,-0.000995948,-0.000580953,-0.039777018,-0.040387146
13.4,-0.677401434,-0.758740595,0.855937470057355,0.9117800741178744,-0.01034006,-0.010086521,-0.052631634,-0.05356686
13.600000000000001,-0.466705532,-0.531884479,1.2284210358547785,1.3324179583715152,-0.021581259,-0.021517951,-0.05849968,-0.059506286
13.8,-0.196497887,-0.237138527,1.4446150353317808,1.5833221987137494,-0.033204928,-0.033373144,-0.056383968,-0.057659044
14,0.09882488587465305,0.08792858246334521,1.4768788118281677,1.6323719766195866,-0.043606495,-0.044024595,-0.046368997,-0.047564871
14.200000000000001,0.3816752177771932,0.4018889983046904,1.3212841189901485,1.4735086811135114,-0.051289042,-0.051942019,-0.029435587,-0.030581178
14.4,0.6161145233736819,0.6647978294253147,0.9980558765812984,1.1274439267539536,-0.055043273,-0.055893501,-0.007455549,-0.008205237
14.600000000000001,0.772464496753031,0.8433260507083169,0.5488731425388099,0.6388845156346293,-0.054094003,-0.055036308,0.01717275923576566,0.016987888576628803
14.8,0.831092092778597,0.9150178177378299,0.0314020369678991,0.07065367402039319,-0.048177026,-0.049100494,0.04175672441116288,0.04216088158858485
15,0.7848826636124939,0.8711248320688664,-0.488211509,-0.504500841,-0.03757613,-0.038348679,0.06358125243927432,0.06466324820511345
15.200000000000001,0.6400886523040182,0.7176591479013072,-0.943897296,-1.01333257,-0.023088813,-0.02360324,0.0802547779801402,0.08169331655711418
15.4,0.41545544651087696,0.4745401623996721,-1.278144565,-1.391518437,-0.005948483,-0.006157973,0.08984028745167395,0.09143451125977572
15.600000000000001,0.1397500876728035,0.17296057070898957,-1.449316104,-1.591852416,0.012292888155066085,0.012399502213780831,0.09113904555307897,0.09263809615356468
15.8,-0.151975611,-0.148673969,-1.436853268,-1.590161791,0.029930846809081913,0.030301622236658554,0.08382353710162391,0.08496050158814028
16,-0.422894863,-0.449695349,-1.243720807,-1.388200311,0.045285447548623035,0.045851141114969254,0.06848982173834225,0.06929382524444515
16.2,-0.639101392,-0.69236753,-0.89580626,-1.013175423,0.05689490713264774,0.0575774261402099,0.04670111251102906,0.04706100737981134
16.400000000000002,-0.773886542,-0.846655325,-0.438383343,-0.514013513,0.06368773444081874,0.06440909389884415,0.020760341610298036,0.020815784700843398
16.6,-0.811053247,-0.893959336,0.06986629276599657,0.045119542654358066,0.0651116999573179,0.0658131043864979,-0.006487398,-0.006758373
16.8,-0.746855062,-0.829351468,0.5644744962080841,0.5931692776010876,0.06120495824062699,0.06182406313130738,-0.032058196,-0.032583397
17,-0.590329062,-0.662043191,0.9834476327471307,1.061316593430664,0.05258691229823664,0.053076618048461914,-0.053171767,-0.053963273
17.2,-0.362001868,-0.41405071,1.275098865052409,1.3916899474118887,0.040382324612718234,0.04068559146535904,-0.067622421,-0.06867055
17.400000000000002,-0.091156354,-0.117252798,1.4044544985676648,1.5445546366948395,0.02607561871339559,0.02615092023857117,-0.074040817,-0.075276666
17.6,0.18797122335974087,0.19075961987155055,1.3574360484495482,1.503081881332558,0.011329987131459383,0.01114268850911287,-0.072034145,-0.073389207
17.8,0.44056448638459533,0.4714953830972832,1.1423217595394433,1.2751281695465895,-0.002215541,-0.002665658,-0.06221823,-0.063459191
